Month,jeggings: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,3
2009-10,3
2009-11,3
2009-12,5
2010-01,6
2010-02,11
2010-03,9
2010-04,8
2010-05,6
2010-06,6
2010-07,12
2010-08,31
2010-09,27
2010-10,26
2010-11,30
2010-12,100
2011-01,42
2011-02,33
2011-03,24
2011-04,24
2011-05,18
2011-06,14
2011-07,17
2011-08,24
2011-09,29
2011-10,31
2011-11,33
2011-12,36
2012-01,26
2012-02,23
2012-03,18
2012-04,16
2012-05,12
2012-06,12
2012-07,14
2012-08,18
2012-09,20
2012-10,23
2012-11,26
2012-12,26
2013-01,24
2013-02,20
2013-03,20
2013-04,17
2013-05,13
2013-06,11
2013-07,12
2013-08,18
2013-09,18
2013-10,22
2013-11,26
2013-12,26
2014-01,19
2014-02,16
2014-03,17
2014-04,17
2014-05,13
2014-06,11
2014-07,13
2014-08,16
2014-09,18
2014-10,22
2014-11,25
2014-12,36
2015-01,36
2015-02,30
2015-03,29
2015-04,21
2015-05,15
2015-06,12
2015-07,14
2015-08,18
2015-09,19
2015-10,23
2015-11,24
2015-12,23
2016-01,19
2016-02,18
2016-03,19
2016-04,16
2016-05,15
2016-06,12
2016-07,14
2016-08,17
2016-09,19
2016-10,23
2016-11,23
2016-12,23
2017-01,18
2017-02,18
2017-03,17
2017-04,17
2017-05,14
2017-06,13
2017-07,15
2017-08,19
2017-09,21
2017-10,26
2017-11,26
2017-12,26
2018-01,21
2018-02,20
2018-03,20
2018-04,19
2018-05,17
2018-06,14
2018-07,16
2018-08,21
2018-09,20
2018-10,22
2018-11,25
2018-12,25
2019-01,20
2019-02,19
2019-03,20
2019-04,18
2019-05,18
2019-06,14
2019-07,15
2019-08,18
2019-09,18
2019-10,23
2019-11,24
2019-12,22
2020-01,19
2020-02,18
2020-03,13
2020-04,12
2020-05,13
2020-06,12
2020-07,13
2020-08,15
2020-09,18
2020-10,22
2020-11,19
2020-12,19
2021-01,20
2021-02,17
2021-03,18
2021-04,17
2021-05,15
2021-06,11
2021-07,13
2021-08,18
2021-09,17
2021-10,19
2021-11,20
2021-12,18
2022-01,15
2022-02,15
2022-03,16
2022-04,13
2022-05,12
2022-06,9
2022-07,11
2022-08,13
2022-09,13
2022-10,15
2022-11,16
2022-12,14
2023-01,13
2023-02,12
2023-03,12
2023-04,11
2023-05,9
2023-06,8
2023-07,8
2023-08,10
2023-09,11
2023-10,12
2023-11,13
2023-12,11
2024-01,10
2024-02,10
2024-03,9
2024-04,8
2024-05,7
2024-06,7
2024-07,7
2024-08,8
2024-09,8
2024-10,9
2024-11,10
2024-12,9
2025-01,9
2025-02,8
2025-03,8
2025-04,8